Date,Open,High,Low,Close,Adj Close,Volume
2019-10-11,0.728291,0.854342,0.724290,0.760304,0.760304,111955
2019-10-14,0.836335,0.836335,0.726291,0.732293,0.732293,64974
2019-10-15,0.732293,0.946379,0.732293,0.822329,0.822329,108956
2019-10-16,0.898359,1.078431,0.830332,0.996399,0.996399,88465
2019-10-17,0.982393,1.220488,0.938375,1.104442,1.104442,84966
2019-10-18,1.186475,1.192477,1.132453,1.188475,1.188475,19992
2019-10-21,1.162465,1.300520,1.160464,1.214486,1.214486,64974
2019-10-22,1.244498,1.282513,1.082433,1.114446,1.114446,41483
2019-10-23,1.118447,1.218487,1.118447,1.218487,1.218487,16493
2019-10-24,1.248499,1.248499,1.118447,1.214486,1.214486,30488
2019-10-25,1.204482,1.248499,1.204482,1.244498,1.244498,5498
2019-10-28,1.298519,1.298519,1.200480,1.220488,1.220488,18493
2019-10-29,1.272509,1.552621,1.272509,1.436575,1.436575,101459
2019-10-30,1.420568,1.420568,1.248499,1.248499,1.248499,46481
2019-10-31,1.228491,1.316527,1.224490,1.224490,1.224490,8747
2019-11-01,1.216487,1.280512,1.216487,1.220488,1.220488,7247
2019-11-04,1.180472,1.200480,1.180472,1.200480,1.200480,1499
2019-11-05,1.184474,1.408563,1.164466,1.408563,1.408563,37235
2019-11-06,1.320528,1.320528,1.020408,1.152461,1.152461,26989
2019-11-07,1.144458,1.156463,1.132453,1.136455,1.136455,7247
2019-11-08,1.224490,1.224490,1.136455,1.164466,1.164466,1749
2019-11-11,1.048419,1.120448,1.048419,1.112445,1.112445,3998
2019-11-12,1.188475,1.380552,1.104442,1.200480,1.200480,24990
2019-11-13,1.192477,1.192477,1.064426,1.088435,1.088435,5498
2019-11-14,1.124450,1.124450,1.124450,1.124450,1.124450,2249
2019-11-15,1.368547,1.368547,1.124450,1.144458,1.144458,4498
2019-11-18,1.120448,1.204482,1.116447,1.204482,1.204482,6997
2019-11-19,1.112445,1.164466,1.040416,1.116447,1.116447,9996
2019-11-20,1.140456,1.140456,1.120448,1.124450,1.124450,5498
2019-11-21,1.060424,1.108443,1.060424,1.080432,1.080432,3499
2019-11-22,1.060424,1.116447,1.060424,1.116447,1.116447,6997
2019-11-25,1.124450,1.124450,1.120448,1.120448,1.120448,1000
2019-11-26,1.160464,1.160464,1.160464,1.160464,1.160464,5748
2019-11-27,1.160464,1.160464,1.160464,1.160464,1.160464,0
2019-11-29,1.080432,1.080432,1.080432,1.080432,1.080432,1000
2019-12-02,1.060424,1.076431,1.060424,1.064426,1.064426,17743
2019-12-03,1.100440,1.140456,1.100440,1.140456,1.140456,1999
2019-12-04,1.148459,1.148459,1.080432,1.112445,1.112445,4248
2019-12-05,1.076431,1.076431,1.076431,1.076431,1.076431,750
2019-12-06,1.076431,1.076431,1.076431,1.076431,1.076431,0
2019-12-09,1.064426,1.064426,1.040416,1.056423,1.056423,3499
2019-12-10,1.020408,1.120448,1.020408,1.120448,1.120448,7997
2019-12-11,1.152461,1.212485,1.140456,1.180472,1.180472,19742
2019-12-12,1.108443,1.108443,1.096439,1.096439,1.096439,8996
2019-12-13,1.196479,1.196479,1.132453,1.132453,1.132453,3499
2019-12-16,1.132453,1.236495,1.060424,1.060424,1.060424,13495
2019-12-17,1.052421,1.060424,1.052421,1.052421,1.052421,5498
2019-12-18,1.048419,1.048419,1.044418,1.048419,1.048419,1999
2019-12-19,1.048419,1.060424,1.048419,1.060424,1.060424,1000
2019-12-20,1.060424,1.060424,1.060424,1.060424,1.060424,1250
2019-12-23,1.060424,1.252501,1.060424,1.252501,1.252501,16244
2019-12-24,1.248499,1.248499,1.080432,1.080432,1.080432,8247
2019-12-26,1.240496,1.240496,0.980392,0.980392,0.980392,27989
2019-12-27,1.000400,1.196479,1.000400,1.160464,1.160464,26989
2019-12-30,1.044418,1.176471,0.944378,0.944378,0.944378,41234
2019-12-31,0.992397,1.164466,0.992397,1.080432,1.080432,45232
2020-01-02,1.152461,1.156463,1.036415,1.132453,1.132453,12245
2020-01-03,1.148459,1.148459,1.148459,1.148459,1.148459,1499
2020-01-06,1.024410,1.024410,0.968387,1.020408,1.020408,33986
2020-01-07,1.024410,1.260504,1.004402,1.040416,1.040416,25990
2020-01-08,1.040416,1.040416,1.040416,1.040416,1.040416,0
2020-01-09,1.204482,1.900760,1.008403,1.216487,1.216487,3539334
2020-01-10,1.084434,1.380552,1.084434,1.304522,1.304522,289134
2020-01-13,1.280512,1.328531,1.204482,1.308523,1.308523,63475
2020-01-14,1.256503,1.276511,1.192477,1.208483,1.208483,50230
